UKBB data field	ICD10	PheCode	Lookup text	Curated reported trait	main ontology URI(s)	main ontology label(s)	Publication	User submitted trait	qc_status	qc_resolution_modes	qc_label_match_modes	qc_unresolved_ids	final_update_applied	final_update_reason
-	I67.8	-	ICD10 I67.8 cathepsin a-related arteriopathy-strokes-leukoencephalopathy	ICD10 I67.8: cathepsin a-related arteriopathy-strokes-leukoencephalopathy	MONDO_0035551	cathepsin a-related arteriopathy-strokes-leukoencephalopathy	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	I68.0	-	ICD10 I68.0 cerebral amyloid angiopathy	ICD10 I68.0: cerebral amyloid angiopathy	EFO_0006790	cerebral amyloid angiopathy	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	I70.0	-	ICD10 I70.0 aortic atherosclerosis	ICD10 I70.0: aortic atherosclerosis	MONDO_0000980	aortic atherosclerosis	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	I70.1	-	ICD10 I70.1 renal artery atheroma	ICD10 I70.1: renal artery atheroma	MONDO_0001876	renal artery atheroma	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	I73.0	-	ICD10 I73.0 Raynaud disease	ICD10 I73.0: Raynaud disease	EFO_1001145	Raynaud disease	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	I73.1	-	ICD10 I73.1 thromboangiitis obliterans	ICD10 I73.1: thromboangiitis obliterans	EFO_1001211	thromboangiitis obliterans	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	I73.81	-	ICD10 I73.81 erythromelalgia	ICD10 I73.81: erythromelalgia	MONDO_0016028	erythromelalgia	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	I75	-	ICD10 I75 cholesterol embolism	ICD10 I75: cholesterol embolism	EFO_0005801	cholesterol embolism	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	I75.81	-	ICD10 I75.81 atheroembolism of kidney	ICD10 I75.81: atheroembolism of kidney	MONDO_0002004	atheroembolism of kidney	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	I77.71	-	ICD10 I77.71 carotid artery dissection	ICD10 I77.71: carotid artery dissection	MONDO_0004763	carotid artery dissection	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	I78.0	-	ICD10 I78.0 hereditary hemorrhagic telangiectasia	ICD10 I78.0: hereditary hemorrhagic telangiectasia	MONDO_0019180	hereditary hemorrhagic telangiectasia	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	I82.0	-	ICD10 I82.0 hepatic vein thrombosis	ICD10 I82.0: hepatic vein thrombosis	EFO_1000966	hepatic vein thrombosis	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	I85.0	-	ICD10 I85.0 esophageal varices	ICD10 I85.0: esophageal varices	EFO_0009545	esophageal varices	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	I85.01	-	ICD10 I85.01 esophageal varices	ICD10 I85.01: esophageal varices	EFO_0009545	esophageal varices	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
