UKBB data field	ICD10	PheCode	Lookup text	Curated reported trait	main ontology URI(s)	main ontology label(s)	Publication	User submitted trait	qc_status	qc_resolution_modes	qc_label_match_modes	qc_unresolved_ids	final_update_applied	final_update_reason
-	-	-	Cognitive function - FI9 concept interpolation - long	Cognitive function - FI9 concept interpolation - long	EFO_0008354	cognitive function measurement	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Cognitive function - FI9 concept interpolation - metres	Cognitive function - FI9 concept interpolation - metres	EFO_0008354	cognitive function measurement	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Paresthesia of skin	Paresthesia of skin	HP_0003401	Paresthesia	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Atrioventricular block, complete	Atrioventricular block, complete	MONDO_0000465	atrioventricular block	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Multiple fractures of ribs	Multiple fractures of ribs	EFO_0009513	multiple bone fractures	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Shingles	Shingles	EFO_0008401	susceptibility to shingles measurement	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Other disorders of bone density and structure	Other disorders of bone density and structure	HP_0004348	Abnormality of bone mineral density	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Ingrowing nail	Ingrowing nail	MONDO_0019283	nail anomaly	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Fracture at wrist and hand level	Fracture at wrist and hand level	EFO_0009515	wrist fracture	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Emphysema	Emphysema	MONDO_0004849	pulmonary emphysema	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Cutaneous abscess, furuncle and carbuncle	Cutaneous abscess, furuncle and carbuncle	HP_0031292	Cutaneous abscess	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	Disc degeneration	Disc degeneration	MONDO_0044339	lumbar disk degenerative disorder	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	chronic fatigue syndrome	chronic fatigue syndrome	MONDO_0005404	myalgic encephalomeyelitis/chronic fatigue syndrome	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	hypertension	hypertension	HP_0000822	Hypertension	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	ST elevation (STEMI) myocardial infarction of anterior wall	ST elevation (STEMI) myocardial infarction of anterior wall	EFO_0008585	ST Elevation Myocardial Infarction	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
-	-	-	ST elevation (STEMI) myocardial infarction of inferior wall	ST elevation (STEMI) myocardial infarction of inferior wall	EFO_0008585	ST Elevation Myocardial Infarction	PMID34662886_manual_qc_seed_v1	-	validated	manual_curator_seed_text_only	manual_curator_seed_text_only		yes	manual_curator_seed_text_only_from_worse_sure_strict_unique
