trait	uri
"1-stearoylglycerophosphoinositol measurement"	"http://www.ebi.ac.uk/efo/EFO_0021094"
"2-linoleoylglycerophosphocholine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021095"
"2-oleoylglycerophosphocholine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021096"
"2-palmitoylglycerophosphocholine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021097"
"2-stearoylglycerophosphocholine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021098"
"10-undecenoate 11:1n1 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021099"
"5-dodecenoate 12:1n7 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021100"
"caprate 10:0 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021101"
"caproate 6:0 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021102"
"caprylate 8:0 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021103"
"heptanoate 7:0 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021104"
"laurate 12:0 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021105"
"pelargonate 9:0 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021106"
"undecanoate 11:0 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021107"
"1-linoleoylglycerol 1-monolinolein measurement"	"http://www.ebi.ac.uk/efo/EFO_0021108"
"1-oleoylglycerol 1-monoolein measurement"	"http://www.ebi.ac.uk/efo/EFO_0021109"
"1-palmitoylglycerol 1-monopalmitin measurement"	"http://www.ebi.ac.uk/efo/EFO_0021110"
"1-stearoylglycerol 1-monostearin measurement"	"http://www.ebi.ac.uk/efo/EFO_0021111"
"valerate measurement"	"http://www.ebi.ac.uk/efo/EFO_0021112"
"4-androsten-3beta,17beta-diol disulfate 1 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021113"
"4-androsten-3beta,17beta-diol disulfate 2 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021114"
"5alpha-androstan-3beta,17beta-diol disulfate measurement"	"http://www.ebi.ac.uk/efo/EFO_0021115"
"7-alpha-hydroxy-3-oxo-4-cholestenoate 7-Hoca measurement"	"http://www.ebi.ac.uk/efo/EFO_0021116"
"androsterone sulfate measurement"	"http://www.ebi.ac.uk/efo/EFO_0021117"
"cortisone measurement"	"http://www.ebi.ac.uk/efo/EFO_0021118"
"dehydroisoandrosterone sulfate DHEA-S measurement"	"http://www.ebi.ac.uk/efo/EFO_0021119"
"epiandrosterone sulfate measurement"	"http://www.ebi.ac.uk/efo/EFO_0021120"
"lathosterol measurement"	"http://www.ebi.ac.uk/efo/EFO_0021121"
"N1-methyladenosine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021122"
"7-methylguanine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021123"
"guanosine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021124"
"N2,N2-dimethylguanosine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021125"
"pseudouridine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021126"
"aspartylphenylalanine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021127"
"cycloleu-pro measurement"	"http://www.ebi.ac.uk/efo/EFO_0021128"
"glycylvaline measurement"	"http://www.ebi.ac.uk/efo/EFO_0021129"
"leucylleucine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021130"
"phenylalanylphenylalanine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021131"
"pro-hydroxy-pro measurement"	"http://www.ebi.ac.uk/efo/EFO_0021132"
"pyroglutamylglycine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021133"
"ADpSGEGDFXAEGGGVR measurement"	"http://www.ebi.ac.uk/efo/EFO_0021134"
"ADSGEGDFXAEGGGVR measurement"	"http://www.ebi.ac.uk/efo/EFO_0021135"
"DSGEGDFXAEGGGVR measurement"	"http://www.ebi.ac.uk/efo/EFO_0021136"
"gamma-glutamylglutamate measurement"	"http://www.ebi.ac.uk/efo/EFO_0021137"
"gamma-glutamylglutamine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021138"
"gamma-glutamylisoleucine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021139"
"gamma-glutamylleucine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021140"
"gamma-glutamylmethionine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021141"
"gamma-glutamylphenylalanine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021142"
"gamma-glutamylthreonine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021143"
"gamma-glutamyltyrosine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021144"
"gamma-glutamylvaline measurement"	"http://www.ebi.ac.uk/efo/EFO_0021145"
"bradykinin, des-arg 9 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021146"
"HWESASXX measurement"	"http://www.ebi.ac.uk/efo/EFO_0021147"
"4-ethylphenylsulfate measurement"	"http://www.ebi.ac.uk/efo/EFO_0021148"
"4-vinylphenol sulfate measurement"	"http://www.ebi.ac.uk/efo/EFO_0021149"
"benzoate measurement"	"http://www.ebi.ac.uk/efo/EFO_0021150"
"catechol sulfate measurement"	"http://www.ebi.ac.uk/efo/EFO_0021151"
"glycerol 2-phosphate measurement"	"http://www.ebi.ac.uk/efo/EFO_0021152"
"2-hydroxyacetaminophen sulfate measurement"	"http://www.ebi.ac.uk/efo/EFO_0021153"
"2-methoxyacetaminophen sulfate measurement"	"http://www.ebi.ac.uk/efo/EFO_0021154"
"3-cystein-S-ylacetaminophen measurement"	"http://www.ebi.ac.uk/efo/EFO_0021155"
"4-acetaminophen sulfate measurement"	"http://www.ebi.ac.uk/efo/EFO_0021156"
"hydroquinone sulfate measurement"	"http://www.ebi.ac.uk/efo/EFO_0021157"
"ibuprofen measurement"	"http://www.ebi.ac.uk/efo/EFO_0021158"
"metoprolol acid metabolite measurement"	"http://www.ebi.ac.uk/efo/EFO_0021159"
"p-acetamidophenylglucuronide measurement"	"http://www.ebi.ac.uk/efo/EFO_0021160"
"salicylate measurement"	"http://www.ebi.ac.uk/efo/EFO_0021161"
"salicyluric glucuronide measurement"	"http://www.ebi.ac.uk/efo/EFO_0021162"
"ergothioneine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021163"
"homostachydrine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021164"
"N-2-furoylglycine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021165"
"piperine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021166"
"quinate measurement"	"http://www.ebi.ac.uk/efo/EFO_0021167"
"saccharin measurement"	"http://www.ebi.ac.uk/efo/EFO_0021168"
"stachydrine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021169"
"thymol sulfate measurement"	"http://www.ebi.ac.uk/efo/EFO_0021170"
"erythritol measurement"	"http://www.ebi.ac.uk/efo/EFO_0021171"
"1,3,7-trimethylurate measurement"	"http://www.ebi.ac.uk/efo/EFO_0021172"
"1-methylurate measurement"	"http://www.ebi.ac.uk/efo/EFO_0021173"
"1-methylxanthine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021174"
"3-methylxanthine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021175"
"7-methylxanthine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021176"
"caffeine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021177"
"paraxanthine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021178"
"theobromine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021179"
"theophylline measurement"	"http://www.ebi.ac.uk/efo/EFO_0021180"
"X-01911 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021181"
"X-02249 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021182"
"X-02269 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021183"
"X-02973 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021184"
"X-03003 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021185"
"X-03056--N-[3- 2-Oxopyrrolidin-1-yl propyl]acetamide measurement"	"http://www.ebi.ac.uk/efo/EFO_0021186"
"X-03088 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021187"
"X-03094 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021188"
"X-04357 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021189"
"X-04494 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021190"
"X-04495 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021191"
"X-04498 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021192"
"X-04499--3,4-dihydroxybutyrate measurement"	"http://www.ebi.ac.uk/efo/EFO_0021193"
"X-04500 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021194"
"X-05426 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021195"
"X-05907 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021196"
"X-06126 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021197"
"X-06226 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021198"
"X-06246 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021199"
"X-06267 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021200"
"X-06307 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021201"
"X-06350 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021202"
"X-06351 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021203"
"X-07765 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021204"
"X-08402 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021205"
"X-08766 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021206"
"X-08988 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021207"
"X-09026 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021208"
"X-09108 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021209"
"X-09706 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021210"
"X-09789 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021211"
"X-10346 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021212"
"X-10395 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021213"
"X-10429 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021214"
"X-10500 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021215"
"X-10506 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021216"
"X-10510 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021217"
"X-10810 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021218"
"X-11204 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021219"
"X-11247 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021220"
"X-11261 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021221"
"X-11299 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021222"
"X-11315 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021223"
"X-11317 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021224"
"X-11327 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021225"
"X-11334 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021226"
"X-11374 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021227"
"X-11381 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021228"
"X-11412 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021229"
"X-11422--xanthine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021230"
"X-11423--O-sulfo-L-tyrosine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021231"
"X-11437 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021232"
"X-11438 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021233"
"X-11440 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021234"
"X-11441 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021235"
"X-11442 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021236"
"X-11444 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021237"
"X-11445--5-alpha-pregnan-3beta,20alpha-disulfate measurement"	"http://www.ebi.ac.uk/efo/EFO_0021238"
"X-11452 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021239"
"X-11469 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021240"
"X-11470 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021241"
"X-11478 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021242"
"X-11483 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021243"
"X-11485 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021244"
"X-11491 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021245"
"X-11497 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021246"
"X-11521 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021247"
"X-11529 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021248"
"X-11530 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021249"
"X-11537 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021250"
"X-11538 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021251"
"X-11540 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021252"
"X-11546 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021253"
"X-11550 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021254"
"X-11552 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021255"
"X-11786--methylcysteine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021257"
"X-11787 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021258"
"X-11792 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021259"
"X-11793--oxidized bilirubin measurement"	"http://www.ebi.ac.uk/efo/EFO_0021260"
"X-11795 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021261"
"X-11799 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021262"
"X-11805 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021263"
"X-11818 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021264"
"X-11820 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021265"
"X-11843 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021266"
"X-11845 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021267"
"X-11847 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021268"
"X-11849 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021269"
"X-11850 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021270"
"X-11852 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021271"
"X-11858 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021272"
"X-11859 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021273"
"X-11876 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021274"
"X-11905 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021275"
"X-12007 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021276"
"X-12013 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021277"
"X-12029 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021278"
"X-12038 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021279"
"X-12039 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021280"
"X-12040 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021281"
"X-12056 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021282"
"X-12063 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021283"
"X-12092 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021284"
"X-12093 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021285"
"X-12094 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021286"
"X-12095--N1-methyl-3-pyridone-4-carboxamide measurement"	"http://www.ebi.ac.uk/efo/EFO_0021287"
"X-12100--hydroxytryptophan measurement"	"http://www.ebi.ac.uk/efo/EFO_0021288"
"X-12116 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021289"
"X-12188 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021290"
"X-12189 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021291"
"X-12206 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021292"
"X-12212 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021293"
"X-12216 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021294"
"X-12217 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021295"
"X-12230 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021296"
"X-12231 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021297"
"X-12236 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021298"
"X-12244--N-acetylcarnosine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021299"
"X-12253 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021300"
"X-12261 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021301"
"X-12329 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021302"
"X-12405 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021303"
"X-12407 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021304"
"X-12428 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021305"
"X-12435 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021306"
"X-12441--12-hydroxyeicosatetraenoate 12-HETE measurement"	"http://www.ebi.ac.uk/efo/EFO_0021307"
"X12442--5,8-tetradecadienoate measurement"	"http://www.ebi.ac.uk/efo/EFO_0021308"
"X-12443 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021309"
"X-12450 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021310"
"X-12456 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021311"
"X-12465 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021312"
"X-12510--2-aminooctanoic acid measurement"	"http://www.ebi.ac.uk/efo/EFO_0021313"
"X-12524 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021314"
"X-12544 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021315"
"X-12556 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021316"
"X-12627 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021317"
"X-12644 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021318"
"X-12645 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021319"
"X-12680 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021320"
"X-12696 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021321"
"X-12704 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021322"
"X-12712 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021323"
"X-12717 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021324"
"X-12719 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021325"
"X-12726 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021326"
"X-12728 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021327"
"X-12729 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021328"
"X-12734 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021329"
"X-12740 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021330"
"X-12749 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021331"
"X-12771 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021332"
"X-12776 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021333"
"X-12786 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021334"
"X-12798 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021335"
"X-12816 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021336"
"X-12830 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021337"
"X-12833 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021338"
"X-12844 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021339"
"X-12847 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021340"
"X-12850 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021341"
"X-12851 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021342"
"X-12855 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021343"
"X-12990--docosapentaenoic acid n6-DPA measurement"	"http://www.ebi.ac.uk/efo/EFO_0021344"
"X-13069 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021345"
"X-13183--stearamide measurement"	"http://www.ebi.ac.uk/efo/EFO_0021346"
"X-13215 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021347"
"X-13429 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021348"
"X-13431--nonanoylcarnitine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021349"
"X-13435 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021350"
"X-13477 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021351"
"X-13496 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021352"
"X-13548 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021353"
"X-13549 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021354"
"X-13553 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021355"
"X-13619 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021356"
"X-13658 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021357"
"X-13671 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021358"
"X-13741 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021359"
"X-13859 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021360"
"X-14056 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021361"
"X-14057 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021362"
"X-14086 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021363"
"X-14189--leucylalanine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021364"
"X-14205--alpha-glutamyltyrosine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021365"
"X-14208--phenylalanylserine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021366"
"X-14304--leucylalanine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021367"
"X-14374 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021368"
"X-14450--phenylalanylleucine measurement"	"http://www.ebi.ac.uk/efo/EFO_0021369"
"X-14473 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021370"
"X-14541 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021371"
"X-14588 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021372"
"X-14625 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021373"
"X-14626 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021374"
"X-14632 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021375"
"X-14658 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021376"
"X-14662 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021377"
"X-14745 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021378"
"X-14977--vanillin measurement"	"http://www.ebi.ac.uk/efo/EFO_0021379"
"X-18601 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021380"
"betaine-to-pyroglutamine ratio"	"http://www.ebi.ac.uk/efo/EFO_0021381"
"N-acetylornithine-to-myo-inositol ratio"	"http://www.ebi.ac.uk/efo/EFO_0021382"
"X-08402-to-cholesterol ratio"	"http://www.ebi.ac.uk/efo/EFO_0021383"
"phosphate-to-erythronate ratio"	"http://www.ebi.ac.uk/efo/EFO_0021384"
"propionylcarnitine-to-isovalerylcarnitine ratio"	"http://www.ebi.ac.uk/efo/EFO_0021385"
"octanoylcarnitine-to-X-13435 ratio"	"http://www.ebi.ac.uk/efo/EFO_0021386"
"valine-to-isovalerylcarnitine ratio"	"http://www.ebi.ac.uk/efo/EFO_0021387"
"X-12038-to-bradykinin, des-arg 9 ratio"	"http://www.ebi.ac.uk/efo/EFO_0021388"
"docosapentaenoate n3 DPA; 22:5n3-to-X-12627 ratio"	"http://www.ebi.ac.uk/efo/EFO_0021389"
"lysine-to-glutaroyl carnitine ratio"	"http://www.ebi.ac.uk/efo/EFO_0021390"
"aspartylphenylalanine-to-X-14450--phenylalanylleucine ratio"	"http://www.ebi.ac.uk/efo/EFO_0021391"
"X-11820-to-cholesterol ratio"	"http://www.ebi.ac.uk/efo/EFO_0021392"
"X-11440-to-4-androsten-3beta,17beta-diol disulfate 2 ratio"	"http://www.ebi.ac.uk/efo/EFO_0021393"
"ADSGEGDFXAEGGGVR-to-ADpSGEGDFXAEGGGVR ratio"	"http://www.ebi.ac.uk/efo/EFO_0021394"
"DSGEGDFXAEGGGVR-to-ADpSGEGDFXAEGGGVR ratio"	"http://www.ebi.ac.uk/efo/EFO_0021395"
"indoleacetate-to-N2,N2-dimethylguanosine ratio"	"http://www.ebi.ac.uk/efo/EFO_0021396"
"arachidonate 20:4n6-to-1-arachidonoylglycerophosphoinositol ratio"	"http://www.ebi.ac.uk/efo/EFO_0021397"
"X-10510-to-palmitoyl sphingomyelin ratio"	"http://www.ebi.ac.uk/efo/EFO_0021398"
"X-12095--N1-methyl-3-pyridone-4-carboxamide-to-X-12844 ratio"	"http://www.ebi.ac.uk/efo/EFO_0021399"
"4-acetamidobutanoate-to-X-03056--N-[3-(2-Oxopyrrolidin-1-yl)propyl]acetamide ratio"	"http://www.ebi.ac.uk/efo/EFO_0021400"
"ADpSGEGDFXAEGGGVR-to-X-14304--leucylalanine ratio"	"http://www.ebi.ac.uk/efo/EFO_0021401"
"10-undecenoate 11:1n1-to-X-11438 ratio"	"http://www.ebi.ac.uk/efo/EFO_0021402"
"carnitine-to-X-12798 ratio"	"http://www.ebi.ac.uk/efo/EFO_0021403"
"glucose-to-mannose ratio"	"http://www.ebi.ac.uk/efo/EFO_0021404"
"X-11444-to-X-12844 ratio"	"http://www.ebi.ac.uk/efo/EFO_0021405"
"isoleucine-to-X-11529 ratio"	"http://www.ebi.ac.uk/efo/EFO_0021406"
"X-11315-to-pyroglutamine ratio"	"http://www.ebi.ac.uk/efo/EFO_0021407"
"X-13215-to-X-13671 ratio"	"http://www.ebi.ac.uk/efo/EFO_0021408"
"urate-to-histidine ratio"	"http://www.ebi.ac.uk/efo/EFO_0021409"
"hexanoylcarnitine-to-octanoylcarnitine ratio"	"http://www.ebi.ac.uk/efo/EFO_0021410"
"DHEA-S-to-4-androsten-3beta,17beta-diol disulfate 2 ratio"	"http://www.ebi.ac.uk/efo/EFO_0021411"
"X-11444-to-X-11470 ratio"	"http://www.ebi.ac.uk/efo/EFO_0021412"
"androsterone sulfate-to-4-androsten-3beta,17beta-diol disulfate 2 ratio"	"http://www.ebi.ac.uk/efo/EFO_0021413"
"valine-to-proline ratio"	"http://www.ebi.ac.uk/efo/EFO_0021414"
"X-04499--3,4-dihydroxybutyrate-to-C-glycosyltryptophan ratio"	"http://www.ebi.ac.uk/efo/EFO_0021415"
"C-glycosyltryptophan-to-succinylcarnitine ratio"	"http://www.ebi.ac.uk/efo/EFO_0021416"
"X-12798-to-phenylalanine ratio"	"http://www.ebi.ac.uk/efo/EFO_0021417"
"4-acetamidobutanoate-to-N1-methyladenosine ratio"	"http://www.ebi.ac.uk/efo/EFO_0021418"
"myristate 14:0-to-myristoleate 14:1n5 ratio"	"http://www.ebi.ac.uk/efo/EFO_0021419"
"glutamine-to-histidine ratio"	"http://www.ebi.ac.uk/efo/EFO_0021420"
"beverage consumption measurement"	"http://www.ebi.ac.uk/efo/EFO_0010088"
measurement	"http://www.ebi.ac.uk/efo/EFO_0001444"
"Schnitzler syndrome"	"http://purl.obolibrary.org/obo/MONDO_0018304"
"cholesteryl ester 15:0 measurement"	"http://www.ebi.ac.uk/efo/EFO_0021434"
