trait	uri
"cumulative dose response to bevacizumab"	"http://www.ebi.ac.uk/efo/EFO_0005944"
reading	"http://www.ebi.ac.uk/efo/EFO_0005229"
"blood immunoglobulin amount"	"http://purl.obolibrary.org/obo/OBA_VT0002460"
"sum of skinfolds"	"http://www.ebi.ac.uk/efo/EFO_0006266"
neonate	"http://www.ebi.ac.uk/efo/EFO_0001372"
"plasma plasminogen measurement"	"http://www.ebi.ac.uk/efo/EFO_0006309"
"family size"	"http://www.ebi.ac.uk/efo/EFO_0004802"
hypospadias	"http://purl.obolibrary.org/obo/MONDO_0005345"
Myopia	"http://purl.obolibrary.org/obo/HP_0000545"
"Age-related cataract"	"http://purl.obolibrary.org/obo/HP_0011141"
"mitochondrial DNA measurement"	"http://www.ebi.ac.uk/efo/EFO_0006312"
"trait in response to melphalan"	"http://purl.obolibrary.org/obo/OBA_2040028"
"thiopurine immunosuppressant-induced pancreatitis"	"http://purl.obolibrary.org/obo/MONDO_0005589"
"infant expressive language ability"	"http://www.ebi.ac.uk/efo/EFO_0006316"
"trait in response to thiopurine"	"http://purl.obolibrary.org/obo/OBA_2040051"
"HIV viral set point measurement"	"http://www.ebi.ac.uk/efo/EFO_0006319"
"Susceptibility to viral and mycobacterial infections"	"http://www.orpha.net/ORDO/Orphanet_391311"
"antidepressant-induced side effect"	"http://www.ebi.ac.uk/efo/EFO_0006320"
"antidepressant-induced dizziness"	"http://www.ebi.ac.uk/efo/EFO_0006321"
"antidepressant-induced sexual dysfunction"	"http://www.ebi.ac.uk/efo/EFO_0006322"
"antidepressant-induced visual impairment"	"http://www.ebi.ac.uk/efo/EFO_0006323"
"antidepressant-induced hearing impairment"	"http://www.ebi.ac.uk/efo/EFO_0006324"
"trait in response to bupropion"	"http://purl.obolibrary.org/obo/OBA_2040033"
"trait in response to buspirone"	"http://purl.obolibrary.org/obo/OBA_2040034"
"trait in response to citalopram"	"http://purl.obolibrary.org/obo/OBA_2040057"
"response to sertraline"	"http://www.ebi.ac.uk/efo/EFO_0006327"
"trait in response to venlafaxine"	"http://purl.obolibrary.org/obo/OBA_2040141"
"selenium amount"	"http://purl.obolibrary.org/obo/OBA_VT0001775"
"serum iron amount"	"http://purl.obolibrary.org/obo/OBA_2050055"
"transferrin saturation measurement"	"http://www.ebi.ac.uk/efo/EFO_0006333"
"total iron binding capacity"	"http://www.ebi.ac.uk/efo/EFO_0006334"
"systolic blood pressure"	"http://www.ebi.ac.uk/efo/EFO_0006335"
"diastolic blood pressure"	"http://www.ebi.ac.uk/efo/EFO_0006336"
"trait in response to allopurinol"	"http://purl.obolibrary.org/obo/OBA_2040067"
"smooth surface dental caries"	"http://purl.obolibrary.org/obo/MONDO_0005592"
"mean arterial pressure"	"http://www.ebi.ac.uk/efo/EFO_0006340"
"transferrin measurement"	"http://www.ebi.ac.uk/efo/EFO_0006341"
"inflammatory biomarker measurement"	"http://www.ebi.ac.uk/efo/EFO_0004872"
"chronic bronchitis"	"http://purl.obolibrary.org/obo/MONDO_0005607"
gastritis	"http://purl.obolibrary.org/obo/MONDO_0004966"
"medication adherence behavior"	"http://www.ebi.ac.uk/efo/EFO_0006344"
"trait in response to phenytoin"	"http://purl.obolibrary.org/obo/OBA_2040130"
"severe cutaneous adverse reaction"	"http://purl.obolibrary.org/obo/MONDO_0005594"
"pulmonary artery enlargement"	"http://www.ebi.ac.uk/efo/EFO_0006347"
"laryngeal squamous cell carcinoma"	"http://purl.obolibrary.org/obo/MONDO_0005595"
"carotid plaque build"	"http://www.ebi.ac.uk/efo/EFO_0006501"
"mammographic density percentage"	"http://www.ebi.ac.uk/efo/EFO_0006502"
"dense area measurement"	"http://www.ebi.ac.uk/efo/EFO_0006503"
"non-dense area measurement"	"http://www.ebi.ac.uk/efo/EFO_0006504"
