efo_id	label	synonyms	source
OBA:2058567	level of retinoblastoma-like protein 2 (human) in cerebrospinal fluid	cerebrospinal fluid retinoblastoma-like protein 2 (human) amount	efo-obo-measurement-branch
OBA:2058568	level of protein VAC14 homolog (human) in cerebrospinal fluid	cerebrospinal fluid protein VAC14 homolog (human) amount	efo-obo-measurement-branch
OBA:2058569	level of sialic acid-binding Ig-like lectin 14 (human) in cerebrospinal fluid	cerebrospinal fluid sialic acid-binding Ig-like lectin 14 (human) amount	efo-obo-measurement-branch
OBA:2058570	level of histone-binding protein RBBP4 (human) in cerebrospinal fluid	cerebrospinal fluid histone-binding protein RBBP4 (human) amount	efo-obo-measurement-branch
OBA:2058571	level of nuclear cap-binding protein subunit 1 (human) in cerebrospinal fluid	cerebrospinal fluid nuclear cap-binding protein subunit 1 (human) amount	efo-obo-measurement-branch
OBA:2058572	level of beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase (human) in cerebrospinal fluid	cerebrospinal fluid beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase (human) amount	efo-obo-measurement-branch
OBA:2058573	level of alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A (human) in cerebrospinal fluid	cerebrospinal fluid alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A (human) amount	efo-obo-measurement-branch
OBA:2058574	level of zinc finger protein 415 (human) in cerebrospinal fluid	cerebrospinal fluid zinc finger protein 415 (human) amount	efo-obo-measurement-branch
OBA:2058575	level of magnesium transporter NIPA4 (human) in cerebrospinal fluid	cerebrospinal fluid magnesium transporter NIPA4 (human) amount	efo-obo-measurement-branch
OBA:2058576	level of protein ripply1 (human) in cerebrospinal fluid	cerebrospinal fluid protein ripply1 (human) amount	efo-obo-measurement-branch
OBA:2058577	level of uncharacterized protein C17orf67 (human) in cerebrospinal fluid	cerebrospinal fluid uncharacterized protein C17orf67 (human) amount	efo-obo-measurement-branch
OBA:2058578	level of divergent protein kinase domain 1C (human) in cerebrospinal fluid	cerebrospinal fluid divergent protein kinase domain 1C (human) amount	efo-obo-measurement-branch
OBA:2058579	level of leucine-rich repeat-containing protein 74A (human) in cerebrospinal fluid	cerebrospinal fluid leucine-rich repeat-containing protein 74A (human) amount	efo-obo-measurement-branch
OBA:2058580	level of secernin-3 (human) in cerebrospinal fluid	cerebrospinal fluid secernin-3 (human) amount	efo-obo-measurement-branch
OBA:2058581	level of fatty acid-binding protein 9 (human) in cerebrospinal fluid	cerebrospinal fluid fatty acid-binding protein 9 (human) amount	efo-obo-measurement-branch
OBA:2058582	level of alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (human) in cerebrospinal fluid	cerebrospinal fluid alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (human) amount	efo-obo-measurement-branch
OBA:2058583	level of polypeptide N-acetylgalactosaminyltransferase 2 (human) in cerebrospinal fluid	cerebrospinal fluid polypeptide N-acetylgalactosaminyltransferase 2 (human) amount	efo-obo-measurement-branch
OBA:2058584	level of polypeptide N-acetylgalactosaminyltransferase 1 (human) in cerebrospinal fluid	cerebrospinal fluid polypeptide N-acetylgalactosaminyltransferase 1 (human) amount	efo-obo-measurement-branch
OBA:2058585	level of AP-1 complex subunit beta-1 (human) in cerebrospinal fluid	cerebrospinal fluid AP-1 complex subunit beta-1 (human) amount	efo-obo-measurement-branch
